Time,r.ankle Acceleration X (m/s^2),r.ankle Acceleration Y (m/s^2),r.ankle Acceleration Z (m/s^2),r.ankle Angular Velocity X (rad/s),r.ankle Angular Velocity Y (rad/s),r.ankle Angular Velocity Z (rad/s),r.ankle Magnetic Field X (uT),r.ankle Magnetic Field Y (uT),r.ankle Magnetic Field Z (uT),l.ankle Acceleration X (m/s^2),l.ankle Acceleration Y (m/s^2),l.ankle Acceleration Z (m/s^2),l.ankle Angular Velocity X (rad/s),l.ankle Angular Velocity Y (rad/s),l.ankle Angular Velocity Z (rad/s),l.ankle Magnetic Field X (uT),l.ankle Magnetic Field Y (uT),l.ankle Magnetic Field Z (uT),r.thigh Acceleration X (m/s^2),r.thigh Acceleration Y (m/s^2),r.thigh Acceleration Z (m/s^2),r.thigh Angular Velocity X (rad/s),r.thigh Angular Velocity Y (rad/s),r.thigh Angular Velocity Z (rad/s),r.thigh Magnetic Field X (uT),r.thigh Magnetic Field Y (uT),r.thigh Magnetic Field Z (uT),l.thigh Acceleration X (m/s^2),l.thigh Acceleration Y (m/s^2),l.thigh Acceleration Z (m/s^2),l.thigh Angular Velocity X (rad/s),l.thigh Angular Velocity Y (rad/s),l.thigh Angular Velocity Z (rad/s),l.thigh Magnetic Field X (uT),l.thigh Magnetic Field Y (uT),l.thigh Magnetic Field Z (uT),head Acceleration X (m/s^2),head Acceleration Y (m/s^2),head Acceleration Z (m/s^2),head Angular Velocity X (rad/s),head Angular Velocity Y (rad/s),head Angular Velocity Z (rad/s),head Magnetic Field X (uT),head Magnetic Field Y (uT),head Magnetic Field Z (uT),sternum Acceleration X (m/s^2),sternum Acceleration Y (m/s^2),sternum Acceleration Z (m/s^2),sternum Angular Velocity X (rad/s),sternum Angular Velocity Y (rad/s),sternum Angular Velocity Z (rad/s),sternum Magnetic Field X (uT),sternum Magnetic Field Y (uT),sternum Magnetic Field Z (uT),waist Acceleration X (m/s^2),waist Acceleration Y (m/s^2),waist Acceleration Z (m/s^2),waist Angular Velocity X (rad/s),waist Angular Velocity Y (rad/s),waist Angular Velocity Z (rad/s),waist Magnetic Field X (uT),waist Magnetic Field Y (uT),waist Magnetic Field Z (uT)
1305397830117180,-9.504052,1.772482,-1.889869,0.266558,0.036095,-0.022827,47.846665,11.699444,13.847605,-9.551761,-0.875805,-1.807275,0.022685,0.01027,-0.018982,46.067693,-30.123552,12.614152,-9.634838,-0.157505,-1.712663,0.060922,-0.002457,0.017835,35.933846,-2.649907,-48.494932,-9.515285,-1.316283,-1.414214,0.235571,0.223295,-0.020464,37.220998,-60.019203,-30.919841,-8.583519,-0.018173,-4.630591,0.228376,0.073936,-0.051172,19.059547,-49.790816,-82.469818,-9.590804,0.296416,-1.364669,-0.034553,0.207952,0.022569,26.601477,-23.356794,-52.385517,-8.810233,0.170874,4.449964,0.1745,1.214005,0.055283,33.554307,-20.632661,-15.235928
1305397830125000,-9.495048,1.772206,-1.909999,0.276728,0.035152,-0.022662,47.844483,11.699647,13.846913,-9.569691,-0.866706,-1.80729,0.024388,0.022522,-0.01247,45.571985,-30.600466,12.638141,-9.637528,-0.176201,-1.719741,0.054993,0.003176,-0.030656,35.933846,-2.649907,-48.494932,-9.478306,-1.257549,-1.381231,0.242695,0.223942,0.009249,35.629743,-60.040412,-30.970801,-8.585767,-0.013589,-4.618932,0.237158,0.067942,0.027601,19.00424,-48.973417,-83.875203,-9.586041,0.286802,-1.364687,-0.038647,0.212282,0.058245,29.387551,-25.026065,-45.371274,-8.802871,0.19178,4.428775,0.15,1.206084,-0.010546,33.554307,-20.632661,-15.235928
1305397830132810,-9.492852,1.77876,-1.934515,0.283248,0.040432,-0.019494,47.84348,12.189204,13.825173,-9.571914,-0.86669,-1.79594,0.022785,0.016319,-0.00774,45.571985,-30.600466,12.638141,-9.639836,-0.173922,-1.726793,0.062659,-0.005472,-0.000353,35.902288,-3.665667,-47.678198,-9.491499,-1.192776,-1.381198,0.238889,0.21675,-0.02653,37.175721,-61.06395,-31.639438,-8.581085,-0.01351,-4.607268,0.231952,0.068484,-0.014778,17.77688,-48.110018,-83.193853,-9.588435,0.284417,-1.388103,-0.027779,0.209747,0.016817,24.664726,-24.971526,-47.960878,-8.781331,0.222144,4.419341,0.162491,1.209009,0.0134,40.965462,-17.458698,-15.141334
1305397830140620,-9.501731,1.767842,-1.947895,0.288308,0.037168,-0.022542,47.851117,11.693677,13.336827,-9.560725,-0.871259,-1.805012,0.021155,0.016386,-0.014128,46.067693,-30.123552,12.614152,-9.619202,-0.194542,-1.747935,0.061032,-0.007045,-0.000337,35.909148,-3.683754,-48.517224,-9.505289,-1.16052,-1.376461,0.237314,0.216833,-0.020537,36.424151,-58.992329,-31.928699,-8.571633,-0.008725,-4.574613,0.241786,0.055302,-0.01469,20.310512,-48.09868,-82.387014,-9.583741,0.282122,-1.383419,-0.037436,0.202639,0.034252,24.269803,-20.098149,-47.318151,-8.790505,0.235878,4.426418,0.145835,1.21636,0.025354,43.684634,-11.885037,-19.587274
1305397830148430,-9.487915,1.75219,-1.954619,0.299681,0.036188,-0.016136,47.84348,12.189204,13.825173,-9.572113,-0.853408,-1.81639,0.024297,0.010235,-0.015788,46.067693,-30.123552,12.614152,-9.63823,-0.21121,-1.759738,0.06438,0.004156,-0.000401,35.965404,-1.634148,-49.311665,-9.521426,-1.125986,-1.378793,0.213681,0.217763,-0.038024,37.219778,-58.981725,-31.903219,-8.557981,-0.029309,-4.579262,0.240245,0.063331,0.003399,18.405832,-49.804722,-83.205132,-9.585757,0.305712,-1.378748,-0.035748,0.201522,0.063964,27.08728,-27.912296,-50.611922,-8.8072,0.217145,4.445264,0.149729,1.198369,-0.004617,38.566959,-21.045858,-22.617481
1305397830156250,-9.485509,1.741144,-1.939031,0.296575,0.035796,-0.022434,47.84348,12.189204,13.825173,-9.57228,-0.842338,-1.834567,0.022658,0.004095,-0.017446,46.070591,-30.130903,12.129821,-9.645577,-0.229976,-1.755073,0.053385,0.007964,-0.024603,35.152515,-1.617062,-47.62708,-9.52609,-1.119106,-1.381143,0.21577,0.213358,-0.014224,38.789005,-60.001629,-31.720369,-8.558507,-0.059414,-4.560592,0.236852,0.070106,-0.008778,19.632036,-49.821197,-83.868922,-9.609135,0.324257,-1.367042,-0.035611,0.210056,0.040426,36.16941,-29.292873,-55.098001,-8.788901,0.187368,4.44288,0.146654,1.188411,-0.016632,33.739663,-18.075446,-19.866749
1305397830164060,-9.492435,1.747907,-1.905574,0.298227,0.034209,-0.022402,47.851117,11.693677,13.336827,-9.581326,-0.835632,-1.827768,0.022705,0.000982,-0.007851,46.060443,-30.60573,12.639795,-9.619925,-0.231563,-1.738628,0.054655,0.002421,0.005727,35.141536,-2.687082,-49.327423,-9.537988,-1.11468,-1.381131,0.209966,0.19455,0.027514,38.016625,-60.008599,-30.894361,-8.558762,-0.0733,-4.572249,0.238343,0.086717,-0.008997,19.660268,-50.653359,-83.175009,-9.632864,0.319173,-1.352983,-0.042028,0.212528,0.010651,24.498667,-28.679712,-57.947528,-8.784527,0.166631,4.445223,0.138317,1.178525,-0.016709,40.815333,-26.84248,-23.122671
1305397830171870,-9.487982,1.752265,-1.896656,0.298276,0.032496,-0.023954,48.326171,12.186022,13.834012,-9.587676,-0.857602,-1.841358,0.024336,0.014916,-0.015698,46.066885,-30.12296,12.613968,-9.594549,-0.252051,-1.72216,0.053419,0.006168,-0.030659,35.21563,0.414457,-49.260546,-9.519231,-1.137559,-1.390584,0.193074,0.197315,0.01589,37.198969,-61.060316,-30.787951,-8.579762,-0.071359,-4.574593,0.243048,0.088675,-0.027235,19.05839,-48.943892,-82.452257,-9.644241,0.349703,-1.334262,-0.03719,0.20579,0.069987,31.308601,-20.338896,-44.641906,-8.764014,0.127639,4.435772,0.139979,1.19296,-0.010646,38.902444,-9.104863,-19.266964
1305397830179680,-9.487355,1.708152,-1.883338,0.301322,0.026397,-0.016039,47.84348,12.189204,13.825173,-9.572297,-0.844583,-1.839104,0.021157,0.013353,-0.012518,46.063341,-30.613081,12.155471,-9.594878,-0.272988,-1.691634,0.058074,-0.00369,-0.024584,33.554176,-1.655238,-47.614011,-9.512255,-1.149041,-1.388237,0.197711,0.196959,-0.008057,37.152474,-61.067585,-32.490926,-8.593672,-0.064659,-4.588598,0.248132,0.067064,-0.020945,18.430594,-48.096111,-82.458538,-9.672639,0.349259,-1.292102,-0.039039,0.206795,0.004622,27.071578,-24.839858,-45.457915,-8.755043,0.100033,4.426338,0.144991,1.186749,-0.016646,38.712149,-14.980242,-19.727011
1305397830187500,-9.504699,1.655465,-1.878928,0.302822,0.025024,-0.011313,48.327175,11.696466,13.855753,-9.57233,-0.842374,-1.839107,0.01787,0.002644,-0.019014,46.069783,-30.13031,12.129644,-9.61617,-0.287345,-1.684636,0.048167,-0.002262,0.005784,34.310809,-3.72193,-48.504156,-9.517604,-1.179322,-1.383527,0.196261,0.202125,0.009901,39.585851,-61.028503,-30.711511,-8.579688,-0.066723,-4.590921,0.246475,0.065473,-0.026971,19.05839,-48.943892,-82.452257,-9.66781,0.354106,-1.388118,-0.039368,0.192418,0.02206,29.509834,-30.853066,-53.262966,-8.734478,0.065668,4.431012,0.153735,1.193149,0.025237,35.992976,-20.553903,-15.281071
